Award Year,Category,Category Full Name,Date Awarded,Laureate Name,Known Name,Gender,Birth Date,Birth Place,Birth Country,Birth Continent,Identification,Motivation,Prize Amount,Prize Amount Adjusted
1947,Physics,The Nobel Prize in Physics,1947-11-13,Sir Edward Victor Appleton,Edward V. Appleton,male,1892-09-06,Bradford,United Kingdom,Europe,52,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,146115,3301577
1947,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1947-10-23,Carl Ferdinand Cori,Carl Cori,male,1896-12-05,Prague,Austria-Hungary,Europe,343,for their discovery of the course of the catalytic conversion of glycogen,146115,3301577
1947,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1947-10-23,"Gerty Theresa Cori, née Radnitz",Gerty Cori,female,1896-08-15,Prague,Austria-Hungary,Europe,344,for their discovery of the course of the catalytic conversion of glycogen,146115,3301577
1947,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1947-10-23,Bernardo Alberto Houssay,Bernardo Houssay,male,1887-04-10,Buenos Aires,Argentina,South America,345,for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,146115,3301577
1948,Chemistry,The Nobel Prize in Chemistry,1948-11-04,Arne Wilhelm Kaurin Tiselius,Arne Tiselius,male,1902-08-10,Stockholm,Sweden,Europe,208,"for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins",159773,3462835
1948,Literature,The Nobel Prize in Literature,1948-11-04,Thomas Stearns Eliot,T.S. Eliot,male,1888-09-26,"St. Louis, MO",USA,North America,619,"for his outstanding, pioneer contribution to present-day poetry",159773,3462835
1948,Physics,The Nobel Prize in Physics,1948-11-04,Patrick Maynard Stuart Blackett,Patrick M.S. Blackett,male,1897-11-18,London,United Kingdom,Europe,53,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",159773,3462835
1948,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1948-10-28,Paul Hermann Müller,Paul Müller,male,1899-01-12,Olten,Switzerland,Europe,346,for his discovery of the high efficiency of DDT as a contact poison against several arthropods,159773,3462835
1949,Chemistry,The Nobel Prize in Chemistry,1949-11-03,William Francis Giauque,William F. Giauque,male,1895-05-12,Niagara Falls,Canada,North America,209,"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures",156290,3319600
1949,Literature,The Nobel Prize in Literature,1950-11-10,William Faulkner,William Faulkner,male,1897-09-25,"New Albany, MS",USA,North America,620,for his powerful and artistically unique contribution to the modern American novel,156290,3319600
1949,Peace,The Nobel Peace Prize,1949-10-12,"John Boyd Orr, Baron Boyd-Orr of Brechin Mearn",Lord Boyd Orr,male,1880-09-23,Kilmaurs,Scotland,Europe,510,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",156290,3319600
1949,Physics,The Nobel Prize in Physics,1949-11-03,Hideki Yukawa,Hideki Yukawa,male,1907-01-23,Tokyo,Japan,Asia,54,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,156290,3319600
1949,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1949-10-27,Walter Rudolf Hess,Walter Hess,male,1881-03-17,Frauenfeld,Switzerland,Europe,347,for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,156290,3319600
1949,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1949-10-27,António Caetano de Abreu Freire Egas Moniz,Egas Moniz,male,1874-11-29,Avanca,Portugal,Europe,348,for his discovery of the therapeutic value of leucotomy in certain psychoses,156290,3319600
1950,Chemistry,The Nobel Prize in Chemistry,1950-11-10,Otto Paul Hermann Diels,Otto Diels,male,1876-01-23,Hamburg,Germany,Europe,210,for their discovery and development of the diene synthesis,164304,3455264
1950,Chemistry,The Nobel Prize in Chemistry,1950-11-10,Kurt Alder,Kurt Alder,male,1902-07-10,Königshütte,Prussia,Europe,211,for their discovery and development of the diene synthesis,164304,3455264
1950,Literature,The Nobel Prize in Literature,1950-11-10,Earl (Bertrand Arthur William) Russell,Bertrand Russell,male,1872-05-18,Trelleck,United Kingdom,Europe,621,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,164304,3455264
1950,Peace,The Nobel Peace Prize,1950-09-22,Ralph Bunche,Ralph Bunche,male,1904-08-07,"Detroit, MI",USA,North America,511,for his work as mediator in Palestine in 1948-1949,164304,3455264
1950,Physics,The Nobel Prize in Physics,1950-11-10,Cecil Frank Powell,Cecil Powell,male,1903-12-05,Tonbridge,United Kingdom,Europe,55,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,164304,3455264
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1950-10-26,Edward Calvin Kendall,Edward C. Kendall,male,1886-03-08,"South Norwalk, CT",USA,North America,349,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",164304,3455264
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1950-10-26,Tadeus Reichstein,Tadeus Reichstein,male,1897-07-20,Wloclawek,Poland,Europe,350,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",164304,3455264
1950,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1950-10-26,Philip Showalter Hench,Philip S. Hench,male,1896-02-28,"Pittsburgh, PA",USA,North America,351,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",164304,3455264
1951,Chemistry,The Nobel Prize in Chemistry,1951-11-15,Edwin Mattison McMillan,Edwin M. McMillan,male,1907-09-18,"Redondo Beach, CA",USA,North America,212,for their discoveries in the chemistry of the transuranium elements,167612,3042802
1951,Chemistry,The Nobel Prize in Chemistry,1951-11-15,Glenn Theodore Seaborg,Glenn T. Seaborg,male,1912-04-19,"Ishpeming, MI",USA,North America,213,for their discoveries in the chemistry of the transuranium elements,167612,3042802
1951,Literature,The Nobel Prize in Literature,1951-11-15,Pär Fabian Lagerkvist,Pär Lagerkvist,male,1891-05-23,Växjö,Sweden,Europe,622,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,167612,3042802
1951,Peace,The Nobel Peace Prize,,Léon Jouhaux,Léon Jouhaux,male,1879-07-01,Paris,France,Europe,512,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,167612,3042802
1951,Physics,The Nobel Prize in Physics,1951-11-15,Sir John Douglas Cockcroft,John Cockcroft,male,1897-05-27,Todmorden,United Kingdom,Europe,56,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,167612,3042802
1951,Physics,The Nobel Prize in Physics,1951-11-15,Ernest Thomas Sinton Walton,Ernest T.S. Walton,male,1903-10-06,Dungarvan,Ireland,Europe,57,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,167612,3042802
1951,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1951-10-18,Max Theiler,Max Theiler,male,1899-01-30,Pretoria,South Africa,Africa,352,for his discoveries concerning yellow fever and how to combat it,167612,3042802
1952,Chemistry,The Nobel Prize in Chemistry,1952-11-06,Archer John Porter Martin,Archer J.P. Martin,male,1910-03-01,London,United Kingdom,Europe,214,for their invention of partition chromatography,171135,2884847
1952,Chemistry,The Nobel Prize in Chemistry,1952-11-06,Richard Laurence Millington Synge,Richard L.M. Synge,male,1914-10-28,Liverpool,United Kingdom,Europe,215,for their invention of partition chromatography,171135,2884847
1952,Literature,The Nobel Prize in Literature,1952-11-06,François Mauriac,François Mauriac,male,1885-10-11,Bordeaux,France,Europe,623,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,171135,2884847
1952,Peace,The Nobel Peace Prize,1953-10-30,Albert Schweitzer,Albert Schweitzer,male,1875-01-14,Kaysersberg,Germany,Europe,513,"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",171135,2884847
1952,Physics,The Nobel Prize in Physics,1952-11-06,Felix Bloch,Felix Bloch,male,1905-10-23,Zurich,Switzerland,Europe,58,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,171135,2884847
1952,Physics,The Nobel Prize in Physics,1952-11-06,Edward Mills Purcell,E. M. Purcell,male,1912-08-30,"Taylorville, IL",USA,North America,59,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,171135,2884847
1952,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1952-10-23,Selman Abraham Waksman,Selman A. Waksman,male,1888-07-22,Priluka,Russian Empire,Europe,353,"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",171135,2884847
1953,Chemistry,The Nobel Prize in Chemistry,1953-11-04,Hermann Staudinger,Hermann Staudinger,male,1881-03-23,Worms,Germany,Europe,216,for his discoveries in the field of macromolecular chemistry,175293,2908768
1953,Literature,The Nobel Prize in Literature,1953-10-15,Sir Winston Leonard Spencer Churchill,Winston Churchill,male,1874-11-30,Woodstock,United Kingdom,Europe,624,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,175293,2908768
1953,Peace,The Nobel Peace Prize,1953-10-30,George Catlett Marshall,George C. Marshall,male,1880-12-31,"Uniontown, PA",USA,North America,514,for proposing and supervising the plan for the economic recovery of Europe,175293,2908768
1953,Physics,The Nobel Prize in Physics,1953-11-04,Frits Zernike,Frits Zernike,male,1888-07-16,Amsterdam,the Netherlands,Europe,60,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",175293,2908768
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1953-10-22,Hans Adolf Krebs,Hans Krebs,male,1900-08-25,Hildesheim,Germany,Europe,354,for his discovery of the citric acid cycle,175293,2908768
1953,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1953-10-22,Fritz Albert Lipmann,Fritz Lipmann,male,1899-06-12,Koenigsberg,Germany,Europe,355,for his discovery of co-enzyme A and its importance for intermediary metabolism,175293,2908768
1954,Chemistry,The Nobel Prize in Chemistry,1954-11-03,Linus Carl Pauling,Linus Pauling,male,1901-02-28,"Portland, OR",USA,North America,217,for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances,181647,2990839
1954,Literature,The Nobel Prize in Literature,1954-10-28,Ernest Miller Hemingway,Ernest Hemingway,male,1899-07-21,"Oak Park, IL",USA,North America,625,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",181647,2990839
1954,Peace,The Nobel Peace Prize,1955-11-05,,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,515,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,181647,2990839
1954,Physics,The Nobel Prize in Physics,1954-11-03,Max Born,Max Born,male,1882-12-11,Breslau,Germany,Europe,61,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",181647,2990839
1954,Physics,The Nobel Prize in Physics,1954-11-03,Walther Bothe,Walther Bothe,male,1891-01-08,Oranienburg,Germany,Europe,62,for the coincidence method and his discoveries made therewith,181647,2990839
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1954-10-21,John Franklin Enders,John F. Enders,male,1897-02-10,"West Hartford, CT",USA,North America,356,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,181647,2990839
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1954-10-21,Thomas Huckle Weller,Thomas H. Weller,male,1915-06-15,"Ann Arbor, MI",USA,North America,357,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,181647,2990839
1954,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1954-10-21,Frederick Chapman Robbins,Frederick C. Robbins,male,1916-08-25,"Auburn, AL",USA,North America,358,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,181647,2990839
1955,Chemistry,The Nobel Prize in Chemistry,1955-11-02,Vincent du Vigneaud,Vincent du Vigneaud,male,1901-05-18,"Chicago, IL",USA,North America,218,"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone",190214,3037703
1955,Literature,The Nobel Prize in Literature,1955-10-27,Halldór Kiljan Laxness,Halldór Laxness,male,1902-04-23,Reykjavik,Iceland,Europe,626,for his vivid epic power which has renewed the great narrative art of Iceland,190214,3037703
1955,Physics,The Nobel Prize in Physics,1955-11-02,Willis Eugene Lamb,Willis E. Lamb,male,1913-07-12,"Los Angeles, CA",USA,North America,63,for his discoveries concerning the fine structure of the hydrogen spectrum,190214,3037703
1955,Physics,The Nobel Prize in Physics,1955-11-02,Polykarp Kusch,Polykarp Kusch,male,1911-01-26,Blankenburg,Germany,Europe,64,for his precision determination of the magnetic moment of the electron,190214,3037703
1955,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1955-10-20,Axel Hugo Theodor Theorell,Hugo Theorell,male,1903-07-06,Linköping,Sweden,Europe,359,for his discoveries concerning the nature and mode of action of oxidation enzymes,190214,3037703
1956,Chemistry,The Nobel Prize in Chemistry,1956-11-01,Sir Cyril Norman Hinshelwood,Sir Cyril Hinshelwood,male,1897-05-19,London,United Kingdom,Europe,219,for their researches into the mechanism of chemical reactions,200123,3057995
1956,Chemistry,The Nobel Prize in Chemistry,1956-11-01,Nikolay Nikolaevich Semenov,Nikolay Semenov,male,1896-04-03,Saratov,Russia,Europe,220,for their researches into the mechanism of chemical reactions,200123,3057995
1956,Literature,The Nobel Prize in Literature,1956-10-25,Juan Ramón Jiménez,Juan Ramón Jiménez,male,1881-12-24,Moguer,Spain,Europe,627,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",200123,3057995
1956,Physics,The Nobel Prize in Physics,1956-11-01,William Bradford Shockley,William B. Shockley,male,1910-02-13,London,United Kingdom,Europe,65,for their researches on semiconductors and their discovery of the transistor effect,200123,3057995
1956,Physics,The Nobel Prize in Physics,1956-11-01,John Bardeen,John Bardeen,male,1908-05-23,"Madison, WI",USA,North America,66,for their researches on semiconductors and their discovery of the transistor effect,200123,3057995
1956,Physics,The Nobel Prize in Physics,1956-11-01,Walter Houser Brattain,Walter H. Brattain,male,1902-02-10,Amoy,China,Asia,67,for their researches on semiconductors and their discovery of the transistor effect,200123,3057995
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1956-10-18,André Frédéric Cournand,André F. Cournand,male,1895-09-24,Paris,France,Europe,360,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,200123,3057995
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1956-10-18,Werner Forssmann,Werner Forssmann,male,1904-08-29,Berlin,Germany,Europe,361,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,200123,3057995
1956,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1956-10-18,Dickinson W. Richards,Dickinson W. Richards,male,1895-10-30,"Orange, NJ",USA,North America,362,for their discoveries concerning heart catheterization and pathological changes in the circulatory system,200123,3057995
1957,Chemistry,The Nobel Prize in Chemistry,1957-10-31,Lord (Alexander R.) Todd,Lord Todd,male,1907-10-02,Glasgow,Scotland,Europe,221,for his work on nucleotides and nucleotide co-enzymes,208629,3056055
1957,Literature,The Nobel Prize in Literature,1957-10-17,Albert Camus,Albert Camus,male,1913-11-07,Mondovi,French Algeria,Africa,628,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",208629,3056055
1957,Peace,The Nobel Peace Prize,1957-10-03,Lester Bowles Pearson,Lester Bowles Pearson,male,1897-04-23,Toronto,Canada,North America,516,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,208629,3056055
1957,Physics,The Nobel Prize in Physics,1957-10-31,Chen Ning Yang,Chen Ning Yang,male,1922-09-22,"Hofei, Anhwei",China,Asia,68,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,208629,3056055
1957,Physics,The Nobel Prize in Physics,1957-10-31,Tsung-Dao (T.D.) Lee,Tsung-Dao Lee,male,1926-11-24,Shanghai,China,Asia,69,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,208629,3056055
1957,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1957-10-24,Daniel Bovet,Daniel Bovet,male,1907-03-23,Neuchâtel,Switzerland,Europe,363,"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",208629,3056055
1958,Chemistry,The Nobel Prize in Chemistry,1958-10-28,Frederick Sanger,Frederick Sanger,male,1918-08-13,Rendcombe,United Kingdom,Europe,222,"for his work on the structure of proteins, especially that of insulin",214559,2998180
1958,Literature,The Nobel Prize in Literature,1958-10-28,Boris Leonidovich Pasternak,Boris Pasternak,male,1890-02-10,Moscow,Russia,Europe,629,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,214559,2998180
1958,Peace,The Nobel Peace Prize,1958-11-10,Georges Pire,Georges Pire,male,1910-02-10,Dinant,Belgium,Europe,517,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,214559,2998180
1958,Physics,The Nobel Prize in Physics,1958-10-28,Pavel Alekseyevich Cherenkov,Pavel A. Cherenkov,male,1904-07-28,Novaya Chigla,Russia,Europe,70,for the discovery and the interpretation of the Cherenkov effect,214559,2998180
1958,Physics,The Nobel Prize in Physics,1958-10-28,Il´ja Mikhailovich Frank,Il´ja M. Frank,male,1908-10-23,Leningrad,Russia,Europe,721,for the discovery and the interpretation of the Cherenkov effect,214559,2998180
1958,Physics,The Nobel Prize in Physics,1958-10-28,Igor Yevgenyevich Tamm,Igor Y. Tamm,male,1895-07-08,Vladivostok,Russia,Europe,71,for the discovery and the interpretation of the Cherenkov effect,214559,2998180
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1958-10-30,George Wells Beadle,George Beadle,male,1903-10-22,"Wahoo, NE",USA,North America,364,for their discovery that genes act by regulating definite chemical events,214559,2998180
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1958-10-30,Edward Lawrie Tatum,Edward Tatum,male,1909-12-14,"Boulder, CO",USA,North America,365,for their discovery that genes act by regulating definite chemical events,214559,2998180
1958,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1958-10-30,Joshua Lederberg,Joshua Lederberg,male,1925-05-23,"Montclair, NJ",USA,North America,366,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,214559,2998180
1959,Chemistry,The Nobel Prize in Chemistry,1959-10-26,Jaroslav Heyrovsky,Jaroslav Heyrovsky,male,1890-12-20,Prague,Austria-Hungary,Europe,223,for his discovery and development of the polarographic methods of analysis,220678,3063530
1959,Literature,The Nobel Prize in Literature,1959-10-22,Salvatore Quasimodo,Salvatore Quasimodo,male,1901-08-20,Modica,Italy,Europe,630,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",220678,3063530
1959,Peace,The Nobel Peace Prize,1959-11-05,Philip J. Noel-Baker,Philip Noel-Baker,male,1889-11-01,London,United Kingdom,Europe,518,for his longstanding contribution to the cause of disarmament and peace,220678,3063530
1959,Physics,The Nobel Prize in Physics,1959-10-26,Emilio Gino Segrè,Emilio Segrè,male,1905-02-01,Tivoli,Italy,Europe,72,for their discovery of the antiproton,220678,3063530
1959,Physics,The Nobel Prize in Physics,1959-10-26,Owen Chamberlain,Owen Chamberlain,male,1920-07-10,"San Francisco, CA",USA,North America,73,for their discovery of the antiproton,220678,3063530
1959,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1959-10-15,Severo Ochoa,Severo Ochoa,male,1905-09-24,Luarca,Spain,Europe,367,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,220678,3063530
1959,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1959-10-15,Arthur Kornberg,Arthur Kornberg,male,1918-03-03,"Brooklyn, NY",USA,North America,368,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,220678,3063530
1960,Chemistry,The Nobel Prize in Chemistry,1960-11-03,Willard Frank Libby,Willard F. Libby,male,1908-12-17,"Grand Valley, CO",USA,North America,224,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science",225987,3018845
1960,Literature,The Nobel Prize in Literature,1960-10-26,Saint-John Perse,Saint-John Perse,male,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,North America,631,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,225987,3018845
1960,Peace,The Nobel Peace Prize,1961-10-23,Albert John Lutuli,Albert Lutuli,male,1898-00-00,Bulawayo,Southern Rhodesia,Africa,519,for his non-violent struggle against apartheid,225987,3018845
1960,Physics,The Nobel Prize in Physics,1960-11-03,Donald Arthur Glaser,Donald A. Glaser,male,1926-09-21,"Cleveland, OH",USA,North America,74,for the invention of the bubble chamber,225987,3018845
1960,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1960-10-20,Sir Frank Macfarlane Burnet,Sir Frank Macfarlane Burnet,male,1899-09-03,Traralgon,Australia,Oceania,369,for discovery of acquired immunological tolerance,225987,3018845
1960,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1960-10-20,Peter Brian Medawar,Peter Medawar,male,1915-02-28,Rio de Janeiro,Brazil,South America,370,for discovery of acquired immunological tolerance,225987,3018845
1961,Chemistry,The Nobel Prize in Chemistry,1961-11-02,Melvin Calvin,Melvin Calvin,male,1911-04-08,"St. Paul, MN",USA,North America,225,for his research on the carbon dioxide assimilation in plants,250233,3260705
1961,Literature,The Nobel Prize in Literature,1961-10-26,Ivo Andric,Ivo Andric,male,1892-10-10,Dolac,Bosnia,Europe,633,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,250233,3260705
1961,Peace,The Nobel Peace Prize,1961-10-23,Dag Hjalmar Agne Carl Hammarskjöld,Dag Hammarskjöld,male,1905-07-29,Jönköping,Sweden,Europe,520,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",250233,3260705
1961,Physics,The Nobel Prize in Physics,1961-11-02,Robert Hofstadter,Robert Hofstadter,male,1915-02-05,"New York, NY",USA,North America,75,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,250233,3260705
1961,Physics,The Nobel Prize in Physics,1961-11-02,Rudolf Ludwig Mössbauer,Rudolf Mössbauer,male,1929-01-31,Munich,Germany,Europe,76,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,250233,3260705
1961,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1961-10-19,Georg von Békésy,Georg von Békésy,male,1899-06-03,Budapest,Hungary,Europe,371,for his discoveries of the physical mechanism of stimulation within the cochlea,250233,3260705
1962,Chemistry,The Nobel Prize in Chemistry,1962-11-01,Max Ferdinand Perutz,Max F. Perutz,male,1914-05-19,Vienna,Austria,Europe,226,for their studies of the structures of globular proteins,257220,3213737
1962,Chemistry,The Nobel Prize in Chemistry,1962-11-01,John Cowdery Kendrew,John C. Kendrew,male,1917-03-24,Oxford,United Kingdom,Europe,227,for their studies of the structures of globular proteins,257220,3213737
1962,Literature,The Nobel Prize in Literature,1962-10-05,John Steinbeck,John Steinbeck,male,1902-02-27,"Salinas, CA",USA,North America,634,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",257220,3213737
1962,Peace,The Nobel Peace Prize,1963-10-10,Linus Carl Pauling,Linus Pauling,male,1901-02-28,"Portland, OR",USA,North America,217,for his fight against the nuclear arms race between East and West,257220,3213737
1962,Physics,The Nobel Prize in Physics,1962-11-01,Lev Davidovich Landau,Lev Landau,male,1908-01-22,Baku,Russian Empire,Asia,77,"for his pioneering theories for condensed matter, especially liquid helium",257220,3213737
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1962-10-18,Francis Harry Compton Crick,Francis Crick,male,1916-06-08,Northampton,United Kingdom,Europe,372,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,257220,3213737
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1962-10-18,James Dewey Watson,James Watson,male,1928-04-06,"Chicago, IL",USA,North America,373,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,257220,3213737
1962,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1962-10-18,Maurice Hugh Frederick Wilkins,Maurice Wilkins,male,1916-12-15,Pongaroa,New Zealand,Oceania,374,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,257220,3213737
1963,Chemistry,The Nobel Prize in Chemistry,1963-11-05,Karl Ziegler,Karl Ziegler,male,1898-11-26,Helsa,Germany,Europe,228,for their discoveries in the field of the chemistry and technology of high polymers,265000,3216343
1963,Chemistry,The Nobel Prize in Chemistry,1963-11-05,Giulio Natta,Giulio Natta,male,1903-02-26,Imperia,Italy,Europe,229,for their discoveries in the field of the chemistry and technology of high polymers,265000,3216343
1963,Literature,The Nobel Prize in Literature,1963-10-24,Giorgos Seferis,Giorgos Seferis,male,1900-03-13,Smyrna,Ottoman Empire,Asia,635,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",265000,3216343
1963,Peace,The Nobel Peace Prize,1963-10-10,,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,482,for promoting the principles of the Geneva Convention and cooperation with the UN,265000,3216343
1963,Peace,The Nobel Peace Prize,1963-10-10,,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,523,for promoting the principles of the Geneva Convention and cooperation with the UN,265000,3216343
1963,Physics,The Nobel Prize in Physics,1963-11-05,Eugene Paul Wigner,Eugene Wigner,male,1902-11-17,Budapest,Austria-Hungary,Europe,78,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",265000,3216343
1963,Physics,The Nobel Prize in Physics,1963-11-05,Maria Goeppert Mayer,Maria Goeppert Mayer,female,1906-06-28,Kattowitz,Germany,Europe,79,for their discoveries concerning nuclear shell structure,265000,3216343
1963,Physics,The Nobel Prize in Physics,1963-11-05,J. Hans D. Jensen,J. Hans D. Jensen,male,1907-06-25,Hamburg,Germany,Europe,80,for their discoveries concerning nuclear shell structure,265000,3216343
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1963-10-17,Sir John Carew Eccles,Sir John Eccles,male,1903-01-27,Melbourne,Australia,Oceania,375,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,3216343
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1963-10-17,Alan Lloyd Hodgkin,Alan Hodgkin,male,1914-02-05,Banbury,United Kingdom,Europe,376,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,3216343
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1963-10-17,Andrew Fielding Huxley,Andrew Huxley,male,1917-11-22,Hampstead,United Kingdom,Europe,377,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,265000,3216343
1964,Chemistry,The Nobel Prize in Chemistry,1964-10-29,Dorothy Crowfoot Hodgkin,Dorothy Crowfoot Hodgkin,female,1910-05-12,Cairo,Egypt,Africa,230,for her determinations by X-ray techniques of the structures of important biochemical substances,273000,3203602
1964,Literature,The Nobel Prize in Literature,1964-10-22,Jean-Paul Sartre,Jean-Paul Sartre,male,1905-06-21,Paris,France,Europe,637,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",273000,3203602
1964,Peace,The Nobel Peace Prize,1964-10-14,Martin Luther King Jr.,Martin Luther King Jr.,male,1929-01-15,"Atlanta, GA",USA,North America,524,for his non-violent struggle for civil rights for the Afro-American population,273000,3203602
